feature,theme,n_improve_with_theme,n_worsen_with_theme,n_drugs_supporting_theme,support_rate_total,support_rate_improve,support_rate_worsen,odds_ratio,log2_odds_ratio,effect_direction,pvalue,fdr_bh,minus_log10_p,lodo_runs_evaluable,lodo_median_log2_odds_ratio,lodo_min_log2_odds_ratio,lodo_max_log2_odds_ratio,lodo_majority_direction,lodo_sign_consistency,lodo_p_lt_0_05_rate,thresholds_evaluable,threshold_median_log2_odds_ratio,threshold_sign_consistency,threshold_p_lt_0_05_rate,threshold_fdr_lt_0_10_rate,threshold_majority_direction,consensus_score
refined_theme_ION_CHANNEL_TRANSPORTER,ION_CHANNEL_TRANSPORTER,8,3,11,0.3055555555555556,0.4,0.1875,2.888888888888889,1.391139231581479,enriched_in_improve,0.2767272277839575,0.8528549249611865,0.5579481075935234,36,1.2801079191927351,1.2105669859396584,1.876566058751721,enriched_in_improve,1.0,0.0,3,1.822443226729626,1.0,0.0,0.0,enriched_in_improve,4.653615170991066
refined_theme_MAP2K_MEK_ERK_RAF_CASCADE,MAP2K_MEK_ERK_RAF_CASCADE,8,3,11,0.3055555555555556,0.4,0.1875,2.888888888888889,1.391139231581479,enriched_in_improve,0.2767272277839575,0.8528549249611865,0.5579481075935234,36,1.2801079191927351,1.2105669859396584,1.876566058751721,enriched_in_improve,1.0,0.0,3,1.391139231581479,1.0,0.0,0.0,enriched_in_improve,4.653615170991066
refined_theme_ERBB_EGFR_FAMILY_RTK,ERBB_EGFR_FAMILY_RTK,4,0,4,0.1111111111111111,0.2,0.0,inf,3.169925001442312,enriched_in_improve,0.11314828961887782,0.8528549249611865,0.9463520065762215,36,3.079727192470734,2.807354922057604,3.2601228104138906,enriched_in_improve,1.0,0.0,2,2.441605799569504,1.0,0.0,0.0,enriched_in_improve,4.497889868968344
refined_theme_RTK_SIGNALING_BROAD,RTK_SIGNALING_BROAD,4,0,4,0.1111111111111111,0.2,0.0,inf,3.169925001442312,enriched_in_improve,0.11314828961887782,0.8528549249611865,0.9463520065762215,36,3.079727192470734,2.807354922057604,3.2601228104138906,enriched_in_improve,1.0,0.0,2,2.220864808451919,1.0,0.0,0.0,enriched_in_improve,4.497889868968344
refined_theme_MET_HGF_RTK,MET_HGF_RTK,5,2,7,0.19444444444444445,0.25,0.125,2.3333333333333335,1.0412882084906319,enriched_in_improve,0.42642746248059327,0.8528549249611865,0.37015483395399357,36,0.9381947155265282,0.7517815912956469,1.778253802656838,enriched_in_improve,1.0,0.0,2,0.8810388275771697,1.0,0.0,0.0,enriched_in_improve,4.421220858550565
refined_theme_SRC_LCK_NONRECEPTOR_TK,SRC_LCK_NONRECEPTOR_TK,5,2,7,0.19444444444444445,0.25,0.125,2.3333333333333335,1.0412882084906319,enriched_in_improve,0.42642746248059327,0.8528549249611865,0.37015483395399357,36,0.9381947155265282,0.7517815912956469,1.778253802656838,enriched_in_improve,1.0,0.0,3,0.8850642331553401,1.0,0.0,0.0,enriched_in_improve,4.421220858550565
refined_theme_JNK_P38_STRESS_MAPK,JNK_P38_STRESS_MAPK,4,1,5,0.1388888888888889,0.2,0.0625,3.75,1.494764691749578,enriched_in_improve,0.3548934725405313,0.8528549249611865,0.44990198843966606,36,1.3985493764902748,1.1321946123648698,3.079727192470734,enriched_in_improve,1.0,0.0,2,1.2041749699660524,1.0,0.0,0.0,enriched_in_improve,4.365799029287216
refined_theme_SER_THR_KINASE_SIGNALING,SER_THR_KINASE_SIGNALING,4,1,5,0.1388888888888889,0.2,0.0625,3.75,1.494764691749578,enriched_in_improve,0.3548934725405313,0.8528549249611865,0.44990198843966606,36,1.3985493764902748,1.1321946123648698,3.079727192470734,enriched_in_improve,1.0,0.0,2,1.2643560118364578,1.0,0.0,0.0,enriched_in_improve,4.365799029287216
refined_theme_VEGFR_FGFR_PDGFR_KIT_FLT_RTK,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,4,2,6,0.16666666666666666,0.2,0.125,1.75,0.6615837823240687,enriched_in_improve,0.6722442642746249,0.8963256856994999,0.17247289457808127,36,0.655135940327806,0.29901370293936036,1.3985493764902748,enriched_in_improve,1.0,0.0,2,0.4755451997595268,1.0,0.0,0.0,enriched_in_improve,4.310365513102329
refined_theme_PARP_DNA_REPAIR_CHECKPOINT,PARP_DNA_REPAIR_CHECKPOINT,2,3,5,0.1388888888888889,0.1,0.1875,0.48148148148148145,-0.9399926906357231,enriched_in_worsen,0.6371275783040488,0.8963256856994999,0.19577359591301718,36,-0.8598223419517398,-1.6769582848019293,-0.4545658634654813,enriched_in_worsen,1.0,0.0,2,-0.8992601323414213,1.0,0.0,0.0,enriched_in_worsen,4.276854091902889
refined_theme_CELL_CYCLE_MITOSIS_KINASE,CELL_CYCLE_MITOSIS_KINASE,1,2,3,0.08333333333333333,0.05,0.125,0.3684210526315789,-1.1643868179008823,enriched_in_worsen,0.5742296918767505,0.8963256856994999,0.24091435505643902,36,-1.0884379646675837,-2.7493493186220386,-0.42742122373467617,enriched_in_worsen,1.0,0.0,3,-1.8421203402182809,1.0,0.0,0.0,enriched_in_worsen,4.209320024269754
refined_theme_APOPTOSIS_BCL2,APOPTOSIS_BCL2,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,0.874779541446208,0.3079788556193091,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0,2,2.269458967970899,1.0,0.0,0.0,enriched_in_improve,4.191125932800092
refined_theme_CHROMATIN_EPIGENETIC,CHROMATIN_EPIGENETIC,1,1,2,0.05555555555555555,0.05,0.0625,0.7894736842105263,-0.33120590847537323,enriched_in_worsen,1.0,1.0,-0.0,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0,2,-0.19566345045647207,1.0,0.0,0.0,enriched_in_worsen,4.083333333333333
